,teks,label
82,"Ya Allah, makasih udah dimudahkan segala urusannya hari ini.",Bersyukur
83,Ngerasa beruntung banget dikelilingi orang-orang baik.,Bersyukur
84,"Hidup itu emang penuh kejutan ya, bersyukur buat semuanya.",Bersyukur
85,"Sumpah ya, ini orang bener-bener nguji kesabaran banget!",Marah
86,"Gue udah coba kalem, tapi kelakuannya makin menjadi-jadi. Asli, bikin emosi jiwa!",Marah
87,Bangke emang! Seenaknya aja ngomong gak dipikir dulu.,Marah
88,Ini provider kenapa sih lemotnya kebangetan? Mau banting HP rasanya!,Marah
89,"Gue gak habis pikir, kok bisa ada orang se-toxic itu sih? Bikin darting!",Marah
90,"Udah dibilangin baik-baik padahal, malah ngeyel. Pengen gue jedotin kepalanya!",Marah
91,"Serius nanya, ini sistem kenapa error mulu dah? Capek banget gue ngulang dari awal!",Marah
92,Muak banget gue sama drama yang gak ada abisnya ini.,Marah
93,Nyesel gue percaya sama dia. Ujung-ujungnya cuma bikin gondok.,Marah
94,"Plis deh, jangan bikin gue marah pagi-pagi gini napa.",Marah
95,"Ini kerjaan numpuk banget, mana deadline mepet semua. Pengen nangis aja!",Marah
96,Kok bisa sih dia ngomong gitu ke gue? Sakit banget hati ini.,Sedih
97,"Hari ini rasanya berat banget, kayak ada beban segede gaban di pundak.",Sedih
98,"Gue kira kita bakal selamanya, ternyata cuma sementara. Ambyar.",Sedih
99,Nonton film sedih malah jadi ikutan mewek. Cengeng banget gue.,Sedih
100,"Lagi kangen banget sama suasana dulu, pas semua masih baik-baik aja.",Sedih
101,"Kadang ngerasa sendirian banget, padahal rame.",Sedih
102,"Denger lagu galau auto keinget mantan. Hadeh, susah move on.",Sedih
103,Kenapa sih ekspektasi gue selalu ketinggian? Jatuhnya sakit tau.,Sedih
104,"Pengen cerita, tapi bingung mau cerita ke siapa. Akhirnya dipendem sendiri.",Sedih
105,"Rasanya pengen menghilang aja bentar, capek sama semuanya.",Sedih
106,"Gagal lagi, gagal lagi. Kapan ya gue bisa berhasil?",Sedih
107,Wagelaseeeh! Dapet tiket konser idola dong! Gak nyangka banget!,Senang
108,"Akhirnya, setelah sekian purnama, cair juga nih bonus! Auto foya-foya!",Senang
109,"Gila sih, hari ini mood gue bagus banget! Semua terasa indah.",Senang
110,Dapet pujian dari orang yang gue kagumi itu rasanya... MAU TERBANG!,Senang
111,Gokil! Tim kesayangan gue menang lagi! Pesta pora!,Senang
112,"Bahagia itu sederhana, kayak nemu duit di kantong celana lama.",Senang
113,Ngakak so hard lihat video lucu barusan. Perut gue sampe sakit.,Senang
114,"Akhirnya bisa me time juga! Nonton series maraton, surga dunia!",Senang
115,Seneng banget pas tau sahabat gue akhirnya jadian sama gebetannya.,Senang
116,Yeay! Paket yang ditunggu-tunggu akhirnya dateng juga!,Senang
117,Liburan telah tiba! Hore! Hore! Hore!,Senang
118,"Fix, ini hari terbaik di minggu ini. Semua berjalan lancar jaya!",Senang
119,"Aduh, besok ujian tapi belum belajar sama sekali. Stres tingkat dewa!",Stress
120,"Kerjaan belum kelar, udah dikasih kerjaan baru lagi. Kapan gue napasnya?",Stress
121,Mikirin masa depan kok jadi cemas gini ya? Takut gak bisa jadi apa-apa.,Stress
122,Presentasi di depan banyak orang tuh bikin jantung mau copot.,Stress
123,Ini grup chat kenapa berisik banget sih? Bikin pusing kepala!,Stress
124,"Duh, overthinking malem-malem gini emang paling bener bikin gak bisa tidur.",Stress
125,Gue butuh refreshing! Otak udah ngebul banget kebanyakan mikir.,Stress
126,Kenapa sih semua orang kayaknya nuntut gue jadi sempurna? Berat banget.,Stress
127,"Anjir, dompet makin tipis, tanggal tua masih lama. Panik gak?",Stress
128,"Badan pegel semua, pikiran juga capek. Butuh pijet plus liburan.",Stress
129,Kepikiran terus omongan orang tadi. Bikin gak tenang.,Stress
130,"Ya Allah, besok interview penting banget, lancarkanlah. Deg-degan parah.",Stress
131,"Alhamdulillah, akhirnya project yang begadangin berbulan-bulan goal juga!",Bersyukur
132,Makasih banget ya Allah buat semua kemudahan hari ini. Gak nyangka selancar ini.,Bersyukur
133,Bersyukur banget punya circle pertemanan yang positif dan selalu support.,Bersyukur
134,"Walaupun cuma dapet traktiran es teh, tapi seneng banget. Nikmat Tuhan mana lagi yang kau dustakan?",Bersyukur
135,"Fiuh, akhirnya bisa rebahan tenang setelah seharian hectic. Makasih badan udah mau diajak kerja keras.",Bersyukur
136,Lihat orang tua sehat aja udah jadi sumber kebahagiaan dan rasa syukur terbesar.,Bersyukur
137,"Dapet notif 'Dana telah ditransfer'. Alhamdulillah, rejeki anak soleh.",Bersyukur
138,Bersyukur masih dikasih kesempatan buat jadi lebih baik lagi setiap harinya.,Bersyukur
139,"Capek sih, tapi pas lihat hasilnya, semua kebayar. Alhamdulillah.",Bersyukur
140,"Terima kasih buat semua pengalaman, baik buruknya, jadi pelajaran berharga.",Bersyukur
141,Setiap bangun pagi masih bisa napas aja udah anugerah luar biasa. Jangan lupa bersyukur.,Bersyukur
142,"Makan enak, tidur nyenyak, teman baik. Kurang bersyukur apa lagi coba?",Bersyukur
143,"Anj***, kenapa sih harus gue yang kena getahnya mulu!",Marah
144,Gue udah muak banget sama janji-janji palsu lo itu!,Marah
145,Ini orang otaknya dimana sih? Bikin keseeeeel!,Marah
146,"Pengen gue tabok rasanya itu orang, sumpah!",Marah
147,"Awas aja lo ya, gue cari sampe ketemu!",Marah
148,"Bete maksimal, semua rencana ancur gara-gara dia.",Sedih
149,"Nangis di pojokan kamar, gak ada yang peduli juga.",Sedih
150,Kenapa sih takdir sekejam ini sama gue? Hiks.,Sedih
151,"Rasanya pengen nyerah aja, udah gak kuat lagi.",Sedih
152,"Kehilangan dia tuh kayak kehilangan separuh jiwa, eaaa.",Sedih
153,ASIKKK! Akhirnya bisa nonton film yang udah lama gue pengen!,Senang
154,Gak ada yang ngalahin rasa seneng pas dapet diskon gede!,Senang
155,"Hari ini full senyum, soalnya banyak hal baik terjadi.",Senang
156,"Ketawa sampe sakit perut gara-gara lawakan temen, hahaha.",Senang
157,"Fix, ini jadi hari favorit gue sepanjang tahun!",Senang
158,Pala gue puyeng banget mikirin skripsi gak kelar-kelar.,Stress
159,"Cemas banget nungguin hasil ujian, takut ngecewain ortu.",Stress
160,"Ini notif kerjaan gak berhenti-berhenti, kapan istirahatnya woy!",Stress
161,"Gue butuh liburan sekarang juga, otak udah korslet!",Stress
162,Kenapa sih hidup serumit ini? Pengen jadi ubur-ubur aja.,Stress
163,"Alhamdulillah, masih bisa makan enak hari ini.",Bersyukur
164,Bersyukur banget punya keluarga yang selalu ada buat gue.,Bersyukur
165,Terima kasih Tuhan atas semua nikmat yang tak terhingga ini.,Bersyukur
166,"Walaupun kecil, tapi pertolongan tadi berarti banget. Makasih ya.",Bersyukur
167,"Setiap masalah pasti ada hikmahnya, gue bersyukur bisa belajar dari ini.",Bersyukur
168,"Udah cukup sabar gue ngadepin lo, sekarang gue beneran marah!",Marah
169,"Gue gak peduli lagi, terserah lo mau ngapain!",Marah
170,Ini orang bener-bener gak punya empati apa gimana sih?!,Marah
171,Mood ancur seharian gara-gara satu orang doang!,Marah
172,Nyesek banget pas tau dikhianatin temen sendiri.,Sedih
173,Pengen teriak sekenceng-kencengnya biar lega.,Sedih
174,"Gue cuma butuh pelukan sekarang, itu aja.",Sedih
175,"Akhirnya bisa beli barang impian pake duit sendiri, bangga pol!",Senang
176,"Dapet kejutan ulang tahun dari temen-temen, terharu campur seneng!",Senang
177,"Weekend ini mau full istirahat, recharge energi. Happy!",Senang
178,"Gila, tugas kuliah numpuknya udah kayak gunung everest!",Stress
179,"Besok senin lagi? Yah, baru juga weekend.",Stress
180,Perut melilit mikirin presentasi di depan bos.,Stress
181,"Alhamdulillah, selamat sampe tujuan tanpa kurang suatu apapun.",Bersyukur
182,"Bersyukur dikasih kesehatan, jadi bisa aktivitas kayak biasa.",Bersyukur
183,"Melihat senyum orang yang kita bantu itu rasanya adem banget, syukur.",Bersyukur
184,"Seriusan deh, kelakuan lo tuh bikin gue pengen nge-flip meja tau gak!",Marah
185,"Gue udah berusaha sabar ya, tapi ini udah kelewatan batas! Emosi gue!",Marah
186,"Ini kenapa sih tiap gue lagi buru-buru, semua hal malah jadi lambat?! Sialan!",Marah
187,Bisa gak sih sehari aja gak bikin gue naik pitam? Capek gue marah-marah terus!,Marah
188,Nyesek banget lihat dia nge-block gue tanpa penjelasan. Apa salah gue coba?,Marah
189,"Udah gue bela-belain, ternyata di belakang gue malah dijelek-jelekin. Bangsat emang!",Marah
190,Ini tugas kenapa gak ada habisnya sih? Mau nangis darah aja rasanya!,Marah
191,Gue gak terima diperlakukan kayak gini! Lo pikir gue apaan?!,Marah
192,"Sumpah, pengen gue sleding itu orang yang nyerobot antrean!",Marah
193,Panas banget kuping gue denger omongan dia. Gak ada akhlak!,Marah
194,"Energi gue abis cuma buat nahan emosi hari ini. Sumpah, capek.",Marah
195,"Woy lah, ini kenapa jadi gue yang disalahin sih? Gak adil banget!",Marah
196,"Bikin perjanjian jam segini, datengnya telat sejam. Gak ngehargain waktu banget!",Marah
197,"Gue udah ngasih ide bagus-bagus, malah dicuekin. Keselnya sampe ke ubun-ubun!",Marah
198,Ini kenapa sih tiap mau nge-game koneksi selalu ampas?! Arghhh!,Marah
199,"Liat aja ntar, gue bales perbuatan lo. Inget itu!",Marah
200,Bisa-bisanya dia ngomong gitu di depan muka gue. Gak punya perasaan!,Marah
201,"Gue lagi sensitif banget hari ini, jangan ada yang macem-macem deh!",Marah
202,"Udah bagus-bagus mood gue, dirusak sama chat gak penting. Bangke!",Marah
203,"Sumpah, pengen gue lempar HP saking keselnya sama notif error mulu!",Marah
204,"Hari ini kayaknya awan lagi bersekongkol sama hati gue, sama-sama mendung.",Sedih
205,"Nyesek itu pas udah berharap banget, eh ternyata cuma angan-angan.",Sedih
206,"Kadang pengen punya tombol pause buat hidup, biar bisa istirahat bentar dari semua ini.",Sedih
207,Dengerin lagu ini auto keinget semua kenangan pahit. Ambyar lagi deh.,Sedih
208,"Gue tuh cuma pengen didengerin, bukan malah dihakimi. Sedih tau.",Sedih
209,"Rasanya hampa banget, kayak ada yang hilang tapi gak tau apa.",Sedih
210,"Malam ini bintangnya banyak, tapi hati gue tetep aja sepi.",Sedih
211,"Coba aja waktu bisa diulang, mungkin gue gak bakal se-kecewa ini.",Sedih
212,Nangis diem-diem sambil peluk guling itu udah jadi ritual mingguan.,Sedih
213,"Dia bahagia sama yang lain, gue di sini masih belum bisa move on. Ironis.",Sedih
214,"Kangen banget sama masa kecil, pas masalah terbesar cuma milih mainan.",Sedih
215,Kadang senyum itu cuma topeng buat nutupin hati yang lagi remuk.,Sedih
216,Gue capek pura-pura kuat terus di depan semua orang.,Sedih
217,"Liat postingan liburan temen-temen, sementara gue di sini berkutat sama revisi. Nasib.",Sedih
218,Kenapa sih orang yang kita sayang justru yang paling sering nyakitin?,Sedih
219,"Pengen teriak tapi gak bisa, akhirnya cuma bisa nangis dalam hati.",Sedih
220,"Lagi di fase 'yaudahlah ya', padahal dalem hati mah 'gak yaudah juga'.",Sedih
221,"Berharap ada keajaiban, tapi kayaknya Tuhan lagi sibuk.",Sedih
222,"Ternyata, kehilangan itu emang beneran sakit ya.",Sedih
223,Gue cuma butuh seseorang yang ngerti tanpa gue harus banyak jelasin.,Sedih
224,GILA GILA GILA! AKHIRNYA WISUDA JUGA! Perjuangan bertahun-tahun lunas!,Senang
225,"Gak nyangka banget dapet surprise party dari temen-temen! Speechless, happy parah!",Senang
226,YES! Diterima kerja di tempat impian! Mimpi apa gue semalem?!,Senang
227,"Wihuuu, menang giveaway tiket konser K-Pop! Siap-siap lightstick!",Senang
228,"Setelah sekian lama nabung, akhirnya kebeli juga PS5! Malam ini begadang!",Senang
229,Dapet nilai A buat mata kuliah paling susah itu rasanya... LUAR BIASA!,Senang
230,Sahabat gue nikah hari ini! Ikut seneng banget lihat dia bahagia!,Senang
231,"Gak sia-sia nonton tutorial masak, akhirnya masakan gue enak juga! Bangga!",Senang
232,"Mood hari ini: full senyum, full energi, full bahagia! Thanks universe!",Senang
233,Ketemu idola secara gak sengaja di mall! Jantung mau copot saking senengnya!,Senang
234,Akhirnya bisa ngumpul full team sama geng lama! Kangen banget!,Senang
235,Dapet chat 'Aku juga kangen kamu' dari dia. MELELEH AKU TUH!,Senang
236,"Fix, hari ini tanggal cantik buat jadian! Dan kita resmi dong!",Senang
237,Nemu duit 100 ribu di saku jaket yang udah lama gak dipake. Rejeki nomplok!,Senang
238,"Waktu liat saldo tiba-tiba nambah karena bonus cair, senyum langsung merekah!",Senang
239,"Berhasil naklukin tantangan baru di game favorit, puas banget!",Senang
240,"Diajakin liburan gratis sama kantor! Wih, rejeki anak baik!",Senang
241,Akhirnya bisa nonton konser band legendaris secara live! Pecah banget!,Senang
242,Dikasih hadiah yang udah lama banget gue pengenin. Senengnya gak bisa diungkapin!,Senang
243,Lulus sidang skripsi tanpa revisi mayor! MAU SUJUD SYUKUR!,Senang
244,"Aduh, deadline besok pagi jam 8, materi baru kekumpul setengah. Panik brutal!",Stress
245,Ini kenapa sih laptop nge-freeze pas lagi ngerjain yang penting-penting?! Mau nangis!,Stress
246,"Gila, grup WA kantor gak berhenti bunyi notifnya, padahal udah jam istirahat!",Stress
247,Mikirin cicilan bulan depan yang udah antri bikin kepala nyut-nyutan.,Stress
248,Besok ketemu calon mertua buat pertama kali. Jantung udah maraton dari sekarang.,Stress
249,"Ini gimana caranya bagi waktu antara kuliah, organisasi, sama part-time? Mumet!",Stress
250,"Presentasi di depan klien besar besok, takut banget nge-blank di tengah jalan.",Stress
251,"Kenapa sih tiap mau ada acara penting, pasti ada aja drama yang bikin stres?",Stress
252,"Udah belajar semaleman, tapi pas liat soal ujian, langsung amnesia. Hadeuh.",Stress
253,"Perut mules banget dari pagi, kayaknya asam lambung naik gara-gara kebanyakan mikir.",Stress
254,"Ngerasa dikejar-kejar waktu terus, kapan ya bisa santai beneran?",Stress
255,"Ini kerjaan gak ada habis-habisnya, padahal tenaga udah di ujung tanduk.",Stress
256,Lihat tumpukan email belum kebaca aja udah bikin pusing tujuh keliling.,Stress
257,Takut banget hasilnya gak sesuai ekspektasi orang tua. Beban mental.,Stress
258,"Kenapa sih semua orang kayaknya hidupnya udah pada mapan, gue gini-gini aja.",Stress
259,"Mau tidur tapi pikiran kemana-mana, overthinking club mana suaranya?",Stress
260,"Badan udah capek banget, tapi mata gak mau diajak kompromi buat tidur. Stres!",Stress
261,Dompet menipis drastis padahal baru tengah bulan. Gimana nasib sampai akhir bulan?,Stress
262,"Duh, salah kirim chat penting ke grup keluarga. MALU BANGET, STRES!",Stress
263,"Bingung mau milih yang mana, dua-duanya penting. Otak rasanya mau meledak!",Stress
264,"Alhamdulillah, akhirnya bisa selesain masalah yang ngeganjel dari kemarin. Plong banget.",Bersyukur
265,"Makasih ya Allah, masih dikasih napas buat liat matahari pagi ini. Indah banget.",Bersyukur
266,Bersyukur banget punya temen yang selalu ada di saat susah maupun senang. Kalian terbaik!,Bersyukur
267,"Walaupun sederhana, bisa makan bareng keluarga lengkap itu nikmatnya luar biasa.",Bersyukur
268,"Fiuh, presentasi tadi lancar jaya. Gak sia-sia begadang nyiapin materi. Syukur.",Bersyukur
269,Ngerasa beruntung banget jadi bagian dari tim yang solid dan suportif ini.,Bersyukur
270,"Dapet kabar baik yang gak disangka-sangka hari ini. Alhamdulillah, rejeki emang gak kemana.",Bersyukur
271,Melihat orang lain tersenyum karena bantuan kecil kita itu rasanya... adem banget.,Bersyukur
272,"Terima kasih Tuhan, Engkau selalu memberikan jalan keluar di setiap kesulitan.",Bersyukur
273,"Sakit kemarin, hari ini udah bisa beraktivitas lagi. Nikmat sehat itu mahal harganya.",Bersyukur
274,"Walaupun pernah gagal, tapi dari situ jadi banyak belajar. Bersyukur atas pelajarannya.",Bersyukur
275,Punya atap buat berteduh dan makanan buat disantap setiap hari itu udah cukup buat disyukuri.,Bersyukur
276,Selamat dari macet parah tadi pagi dan gak telat ngantor. Alhamdulillah.,Bersyukur
277,"Bersyukur dikelilingi orang-orang yang tulus, bukan yang cuma ada maunya.",Bersyukur
278,"Setiap kebaikan kecil yang kita terima, jangan lupa disyukuri. Itu nambah berkah.",Bersyukur
279,"Ya Allah, terima kasih atas semua kesempatan dan anugerah yang tak pernah putus ini.",Bersyukur
280,"Meskipun capek banget habis kerja, tapi masih bisa lihat anak istri senyum itu udah cukup.",Bersyukur
281,"Dulu ngeluh terus, sekarang baru sadar betapa banyak hal yang harusnya disyukuri.",Bersyukur
282,"Alhamdulillah, project sosial yang kita kerjain bareng akhirnya berdampak positif buat banyak orang.",Bersyukur
283,Bisa menikmati secangkir kopi hangat di pagi hari sambil liat hujan. Syahdu dan patut disyukuri.,Bersyukur
284,"Seriously deh, ini orang *literally* bikin gue pengen teriak anj***! Gak ada otaknya banget.",Marah
285,"Capek banget gue sumpah, *he's so annoying*. Pengen gue block aja *contact*-nya, bangke!",Marah
286,"Kampret emang ini kerjaan, udah deadline, revisi mulu lagi! *I can't even*.",Marah
287,"Sialan! Kenapa sih *every time* gue lagi *chill*, ada aja yang bikin emosi?!",Marah
288,Brengsek! Dia pikir gue bakal diem aja diginiin? *He's totally wrong*.,Marah
289,Ta*k lah! Internetnya lemot banget pas lagi butuh cepet. *This is a nightmare*!,Marah
290,"Gue udah *try my best* buat sabar, tapi kelakuannya *really testing my limits*. Anjirlah!",Marah
291,"OMG, *he's so inconsiderate*! Bikin mood ancur seharian, *damn it*!",Marah
292,Lo tuh *literally* gak ada empatinya ya? *How could you say that*? Bangsat!,Marah
293,"Gue *literally* pengen nge-ghosting semua orang hari ini. *Too much drama*, anjir.",Marah
294,"Udah dibilangin baik-baik, *still* aja ngeyel. *What the hell is wrong with you*?!",Marah
295,"Ini macet *freaking* parah, telat gue jadinya! Sialan bener!",Marah
296,"Kesel banget, *my ideas got rejected without any clear reason*. Kampret.",Marah
297,"Dia *playing victim* mulu, padahal jelas-jelas dia yang salah. *So manipulative*, anjir!",Marah
298,Gue udah capek banget *dealing with this bullshit*. *Enough is enough*!,Marah
299,Rasanya pengen nangis *for real*. *My heart is broken into pieces*.,Sedih
300,Lagi ngerasa *so empty inside*. Kayak ada yang kurang tapi *I don't know what it is*.,Sedih
301,Kenapa sih *life is so unfair sometimes*? Gue cuma pengen *a little bit of happiness*.,Sedih
302,"Liat *stories* temen-temen *holiday*, gue di sini *stuck* sama kerjaan. *So sad*.",Sedih
303,"Dia udah *move on* secepet itu, sementara gue masih *stuck in the past*. Nyesek.",Sedih
304,*Feeling so down and unmotivated today*. Pengen *scrolling TikTok all day long* aja.,Sedih
305,"Kangen banget *our old memories*, kenapa semua harus berubah sih?",Sedih
306,"*It hurts you know*, pas lo udah *invest so much feelings* tapi akhirnya sia-sia.",Sedih
307,"Lagi pengen *being alone* aja, *my social battery is drain*ed.",Sedih
308,"Kadang gue *wondering*, apa gue bakal *truly happy* suatu saat nanti?",Sedih
309,"Dengerin lagu mellow sambil liatin hujan, *perfect combo* buat galau.",Sedih
310,"Kecewa sih, *I expected more from him/her*. Ternyata cuma *another disappointment*.",Sedih
311,Gue capek *pretending to be okay when I'm actually not*.,Sedih
312,Rasanya *so lonely even in a crowd*. Pengen ada yang *genuinely care*.,Sedih
313,*Missing someone who doesn't miss you back is the worst feeling ever*.,Sedih
314,OMG! *I'm so freaking happy right now*! Gak nyangka banget dapet ini!,Senang
315,Akhirnya *weekend* juga! *Time for self-reward and chillaxing*!,Senang
316,"Wagelaaaaseh, *this is the best news ever*! Pengen traktir semua orang!",Senang
317,Gue lagi *on cloud nine*! Semua *vibes*-nya positif banget hari ini.,Senang
318,*Feeling so grateful and blessed*. Dapet kerjaan baru yang *totally me*!,Senang
319,YES! *My favorite band is coming to town*! Auto beli tiket *front row*!,Senang
320,"Habis *quality time* sama temen-temen, *mood booster* banget sumpah!",Senang
321,Gak ada yang ngalahin rasanya pas *your crush notice you back*. *Butterflies in my stomach*!,Senang
322,"Akhirnya, *my hard work paid off*! Lulus dengan predikat *cumlaude*!",Senang
323,Seneng banget bisa *sharing happiness* sama orang-orang tersayang.,Senang
324,*This is literally the highlight of my year*! So happy I could cry!,Senang
325,"Dapet komplimen dari atasan, *such a confidence booster*! Semangat kerja lagi!",Senang
326,Nemu kafe baru yang *aesthetically pleasing* dan kopinya enak. *Perfect*!,Senang
327,"Yeay, paket belanjaan *online* gue dateng lebih cepet dari estimasi. *Love it*!",Senang
328,"*Feeling super energetic and positive today*! Siap menaklukkan dunia, haha!",Senang
329,"Aduh, *this deadline is killing me softly*. Belum ada progress signifikan, *I'm so stressed out*!",Stress
330,"Kepala gue rasanya mau pecah, *so many things to think about*. Butuh *aspirin and holiday*.",Stress
331,"Besok presentasi penting banget, *I'm so nervous I could puke*. *Wish me luck*!",Stress
332,"Gila, kerjaan *num-puk like crazy*. Kapan gue bisa *me time* coba?",Stress
333,Kenapa sih *everything feels so overwhelming right now*? Pengen *scream*!,Stress
334,*My anxiety is kicking in*. Overthinking hal-hal yang belum tentu terjadi.,Stress
335,Butuh *escape from reality* bentar. *Too much pressure*.,Stress
336,Ini grup *chat* kenapa isinya kerjaan semua sih *even on weekends*? *Help*!,Stress
337,"Rasanya kayak dikejar-kejar *something*, tapi gak tau apa. *So restless*.",Stress
338,"Dompet makin tipis, *meanwhile my wishlist is getting longer*. *The struggle is real*.",Stress
339,"Bingung banget mau ambil keputusan yang mana, *both options have pros and cons*.",Stress
340,Belum tidur dari semalem gara-gara *insomnia attack*. *My brain won't shut up*.,Stress
341,"Ngerasa *so unproductive* hari ini, padahal kerjaan banyak. *Guilty feeling activated*.",Stress
342,Takut banget ngecewain ekspektasi orang-orang. *It's a heavy burden*.,Stress
343,*Can someone please fast forward to the good part of my life*? Lagi capek banget.,Stress
344,"Alhamdulillah, *finally this chaotic week is over*. Bersyukur banget bisa *survive*.",Bersyukur
345,"Makasih banget ya Allah, *for all the unexpected blessings*. *Feeling so grateful*.",Bersyukur
